"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","aridlands"
840,7,22,"COAL HILL",1,35.4263985,-93.6640897,19,25,1,1,2011,0.00396217620030632
840,7,23,"LURTON",1,35.7806777,-93.0696409,19,24,1,1,2011,0.00402210895108964
840,7,24,"MASSARD",1,35.3514159,-94.3318236,19,25,1,1,2011,0.001465357166827
840,7,25,"MAYNARD",1,36.4436877,-90.9236529,5,26,1,1,2011,0.000178800916354696
840,7,26,"ZION",1,36.0989147,-91.7354059,19,24,1,1,2011,0.00769692236295517
840,7,27,"FULTON",1,36.4061087,-92.1148009,19,24,1,1,2011,0.0045771288479886
840,7,28,"COMPTON",1,36.1206137,-93.2802279,19,24,1,1,2011,0.00107223035082037
840,7,29,"AVOCA",1,36.4053037,-94.1100149,19,24,1,1,2011,0.00163326062911545
840,7,30,"Centerton",1,36.329802,-94.303299,19,24,1,1,2011,0.000154755982976842
840,7,31,"Farwell",1,36.394077,-93.472462,19,24,1,1,2011,0.000368221379156438
840,7,32,"Yellville",1,36.210562,-92.751243,19,24,1,1,2011,0.00119698862860803
840,7,33,"Ravenden Springs",1,36.313763,-91.22905,5,24,1,1,2011,0.000500934033249496
840,7,34,"Lafe",1,36.240019,-90.517158,5,26,1,1,2011,2.05096651797159e-05
840,7,35,"Dell",1,35.901224,-90.000225,5,26,1,1,2011,0
840,7,36,"Hickory Ridge",1,35.396663,-90.966633,5,26,1,1,2011,0
840,7,37,"Russell",1,35.373736,-91.658032,5,24,1,1,2011,0.00352889751271363
840,7,38,"Marshall",1,35.939336,-92.442323,19,24,1,1,2011,0.00672542979866344
840,7,39,"Havana",1,35.075027,-93.68179,19,25,1,1,2011,0.00874808272068546
840,7,40,"Hatfield",0,34.442965,-94.324251,19,25,1,1,2011,0.0967765540960814
840,7,41,"Sims",1,34.65949,-93.689266,19,25,1,1,2011,0.0270220746744848
840,7,42,"England",1,34.559183,-92.001796,4,26,1,1,2011,0.00102094989177931
840,7,43,"Gillett",1,34.13829,-91.573969,5,26,1,1,2011,0.00150687318688303
840,7,45,"Lockesburg",1,33.782848,-94.006856,4,25,1,1,2011,0.07242927168585
840,7,46,"Springhill",1,33.026092,-93.493628,4,25,1,1,2011,0.0472065437203827
840,7,47,"Stephens",1,33.454572,-92.967494,4,25,1,1,2011,0.0336630060154561
840,7,48,"Kelso",1,33.796907,-91.220963,5,26,1,1,2011,0
840,7,49,"Rudy",1,35.615095,-94.344402,19,24,1,1,2011,0.000427135128031017
840,7,102,"EUDORA 2",0,33.168534,-91.332834,5,26,1,1,2011,0.0019156290342731
840,7,103,"PRINCETON",0,33.9394687,-92.5894309,4,25,1,1,2011,0.0957727426445722
840,7,109,"ULM",1,34.7008083,-91.7077371,5,26,1,1,2011,0.00040318922678386
840,7,111,"NANCE",1,34.7023815,-92.8007333,19,25,1,1,2011,0.0474473990303226
840,7,112,"Poyen 2",1,34.339974,-92.663213,4,25,1,1,2011,0.032208520678449
840,7,114,"DRY FORK",0,34.8282537,-93.2368089,19,25,1,1,2011,0.131908196424325
840,7,117,"WILSON",1,35.5182227,-90.2867129,5,26,1,1,2011,0
840,7,118,"AUGUSTA 2",1,35.3146835,-91.3577331,5,26,1,1,2011,1.04281811166496e-05
840,7,140,"Hatfield 2",1,34.462149,-94.305307,19,25,1,1,2011,0.0967765540960814
840,7,203,"Princeton 2",1,33.939504,-92.589264,4,25,1,1,2011,0.0957727426445722
840,7,214,"Dry Fork 2",1,34.817372,-93.331922,19,25,1,1,2011,NA
840,7,900,"OZARK NF",1,35.6440029,-93.2948547,19,24,1,2,2011,0.0164533172582533
840,7,901,"MAGAZINE MTN",1,35.1599347,-93.4248279,19,25,1,2,2011,0.00337084881077785
840,7,902,"BOSTON MTN.",1,35.6923427,-93.8210314,19,24,1,2,2011,0.00153742797343738
840,7,903,"FOUR LAKES",0,33.690604,-92.614034,4,25,1,2,2011,0.130539359383221
840,7,904,"CROWLEY'S RIDGE",1,34.7364157,-90.684515,5,26,1,2,2011,NA
840,14,1,"HORSE CREEK",1,41.8223332,-123.0047055,93,5,1,1,2011,0.169047253366098
840,14,2,"CARRVILLE",0,41.142525,-122.526786,66,5,1,1,2011,0.181012264209674
840,14,3,"NUBIEBER",1,41.1014068,-121.2571315,85,9,1,1,2011,0.174124384072446
840,14,4,"CRESCENT CTY",1,41.705965,-124.142766,93,5,1,1,2011,0.0386292834890966
840,14,5,"HONEYDEW",1,40.2431947,-124.1233439,93,5,1,1,2011,0.293782897897738
840,14,6,"HOLMES",1,40.4150917,-123.9615249,93,5,1,1,2011,0.14961797848728
840,14,7,"RED BLUFF",1,40.346606,-122.307938,92,32,1,1,2011,0.32641181390026
840,14,8,"LASSEN PARK",0,40.4941127,-121.4255289,66,15,1,1,2011,0.0630451820411819
840,14,9,"EAGLE LAKE",1,40.5758997,-120.6982799,85,15,1,1,2011,0.254948914431673
840,14,10,"CALPELLA",0,39.2648927,-123.2246019,93,32,1,1,2011,0.131453034500126
840,14,11,"HULLVILLE",1,39.511995,-122.938696,92,5,1,1,2011,0.350460182010364
840,14,12,"PENNINGTON",1,39.2754327,-121.7340849,91,32,1,1,2011,0.00249259328093057
840,14,13,"WESTVILLE",1,39.122095,-120.759797,66,15,1,1,2011,0.0464551461396512
